node1,node2,label
1371,46051,0
38540,38745,1
38600,38769,1
954,43639,0
38059,38570,0
1643,8631,0
38064,38264,1
22210,31176,0
38765,8622,0
38530,38811,1
38011,18364,0
29583,34200,1
37998,38019,1
38635,38744,1
8546,20591,0
14094,32775,1
38016,38108,0
35367,38878,0
38105,39026,0
38620,10418,0
8509,36600,0
38531,38778,1
8415,32138,0
1845,6120,1
1358,1359,1
30785,36875,1
38522,29378,0
39436,39438,1
38584,38149,0
29768,38028,1
38683,38155,0
38067,13282,0
29596,38273,0
38570,29179,0
23876,23879,1
38773,38848,1
39724,43894,1
38196,38306,1
47843,8557,0
33689,34436,0
47482,13176,0
7280,7282,1
2162,38841,0
38075,38114,1
38009,38839,0
38606,38138,0
38595,38567,0
4336,2628,0
30413,38859,0
38616,38695,1
17094,17117,1
38523,48371,0
8553,8661,0
17954,17955,1
47560,24201,0
32792,38107,0
3258,19137,1
38171,38231,1
8247,38251,0
38763,38788,1
3252,19439,1
8445,44582,0
38737,38766,1
2156,52723,1
29593,38663,0
52759,52761,1
38750,38824,1
7632,10589,1
1158,18534,1
6514,11465,1
38672,38826,1
38562,38624,1
45569,45572,1
8523,8656,1
1795,38775,0
38526,38823,1
37986,8573,0
38518,10615,0
8647,8651,1
38181,38290,1
38516,38750,1
8446,13572,0
38661,8642,0
38560,38686,1
37989,37998,1
38074,38151,1
40004,48777,1
881,5776,1
34045,34052,1
8457,8637,0
9465,38913,1
42112,42114,1
8582,8659,1
3069,38135,0
48096,13326,0
38674,38680,1
8501,13922,1
3071,17811,1
2459,38818,0
8470,44209,0
38543,38677,1
38042,38202,1
41006,41008,1
8447,38524,0
2502,5406,1
38570,34264,0
8474,8657,0
29768,38229,1
38508,8657,0
38205,38306,1
14720,8463,0
36097,38144,1
29459,46884,0
38528,10651,0
12845,23841,1
25906,25907,1
3560,38087,0
35944,52388,0
48943,48945,1
38202,38821,0
1782,38188,0
38534,38580,1
11029,48856,1
38148,8437,0
38528,38735,0
27117,50178,0
9878,38263,0
38024,28654,0
14877,28504,1
8570,38843,0
11746,24490,0
4276,4289,1
38543,38560,1
10327,38309,0
38529,38554,1
8506,8532,1
8575,38746,0
38657,42727,0
8411,8546,1
7878,11032,1
1189,38142,0
8243,38547,1
38027,38238,0
6780,6781,1
38230,38779,0
8433,46493,0
38706,16202,0
21549,42309,0
38784,38840,1
38097,38106,1
27452,8647,0
38089,38225,0
11072,11076,1
38636,38754,1
31534,28586,0
31971,38709,0
47084,37331,0
3908,19549,0
37985,38159,1
34115,34116,1
2674,38740,0
8502,8511,1
38082,38785,0
8293,8340,1
38064,38289,1
5925,1389,0
38292,38308,1
44217,34515,0
1291,33347,0
8560,40964,0
36788,36790,1
38763,34111,0
3904,38602,0
19523,43461,1
38113,24896,0
38522,38789,1
38688,38826,0
8879,22692,1
40386,40387,1
1543,32060,0
1033,11116,0
25905,16486,0
9544,26883,1
28066,43005,1
38061,38108,0
8441,8662,1
28883,38202,0
29983,38775,0
25925,25939,1
31339,31345,1
9155,9156,1
38006,1262,0
38147,38178,1
8647,34542,0
7063,41467,0
3058,3061,1
3975,41038,0
38267,11955,0
38542,15198,0
47469,51459,0
2417,24383,1
52840,13480,0
38597,38657,1
26789,38771,1
1893,29537,0
32126,38152,1
38515,38296,0
8531,28956,0
7982,7984,1
38165,38824,0
38190,5316,0
11499,36069,0
38524,19358,0
11754,29785,0
22829,38026,1
38526,38732,1
38691,38867,0
23205,48037,1
38131,38796,0
38008,38292,1
26789,26923,0
12507,39029,0
38178,38198,1
38703,38773,1
2822,2825,1
36886,38848,0
8431,8624,0
38508,38615,1
38670,38676,1
38041,38088,1
16024,52091,1
41222,42984,1
8472,38743,0
38746,38816,1
3023,38638,0
9661,31930,0
38627,8543,0
37999,38022,1
607,24805,0
47560,38683,0
38843,38285,0
4131,18816,1
37989,38619,0
38569,38169,0
20514,41664,0
38577,8577,0
18452,38835,0
3805,8612,0
18555,25646,1
8407,38273,0
38534,38731,1
37700,38854,0
30909,46345,1
8446,8589,1
8490,8618,0
8425,8632,1
8525,8616,0
8614,8645,1
38619,44049,0
8479,8573,0
18518,30694,1
8508,8657,1
1157,11935,0
8451,8659,0
40995,40996,1
38599,21195,0
8573,8580,1
21077,21079,1
38633,38743,1
5806,27535,1
38108,13322,0
8581,38200,0
879,4315,1
3644,37972,1
38815,14736,0
38550,38811,0
47299,47301,1
23716,40464,0
9108,9113,1
12443,39744,1
38052,38236,0
10043,38877,0
1371,43478,0
40605,40607,1
38125,38257,1
28771,38301,0
38753,4322,0
38055,14711,0
37326,37328,1
12343,38838,0
38669,38837,1
20597,24898,1
19680,44656,0
38511,38687,0
48053,38798,0
38654,38701,0
10238,6931,0
11594,38826,0
38784,38794,1
38613,20479,0
7157,17936,1
8482,40964,0
660,38729,0
42112,38678,0
8561,8655,1
38034,38158,1
28484,32118,1
35248,35250,1
40964,40965,1
545,4262,0
22829,38288,1
9134,15961,0
8452,8474,1
38725,38199,0
18521,1418,0
8628,10701,0
38084,39029,0
4139,2825,0
29612,29613,1
3245,13921,0
38036,38071,1
38601,20323,0
27408,38846,0
9427,9428,1
38536,43823,0
8593,8642,1
47558,38654,0
29963,8663,0
8439,38210,0
38076,38105,1
17106,17111,1
38604,39028,0
17075,17101,1
37258,42323,1
38037,38249,1
8494,8628,1
38688,38290,0
8413,27053,0
31002,38871,0
38729,35343,0
38573,38799,1
38514,38662,1
36589,38724,0
13413,16499,1
36797,40607,0
8573,38757,0
38021,38268,1
8485,38262,0
52478,52481,1
7773,48679,0
27111,38283,0
38639,38874,1
38204,38309,1
38055,38529,0
19987,19989,1
46764,44447,0
38056,38876,0
6027,37231,0
8472,38245,0
8432,8526,1
38040,38064,0
1400,2886,1
7579,44738,0
38225,39905,0
8473,8623,1
38157,38299,1
38641,38675,1
11020,16062,1
38748,29540,0
38583,8568,0
4897,29777,0
8455,8612,1
38045,19606,0
6095,12166,1
8710,11653,0
4894,12522,1
38195,38213,1
37090,37091,1
8601,38174,0
16695,16703,1
38601,38255,0
38558,38854,0
5614,8670,1
38089,38164,1
4196,4484,1
8468,38754,0
38017,38239,1
42205,46702,0
8514,8535,1
8598,8651,1
15966,16489,1
38626,38662,1
1407,7117,1
25917,25929,1
2156,17006,0
16484,16498,1
3586,17117,0
38529,27520,0
29583,46602,0
38546,38686,1
38001,37093,0
8477,8635,1
38218,47853,0
38616,27409,0
38009,38236,0
11175,11178,1
36339,29918,0
38810,28033,0
3975,8465,1
14534,14535,1
8421,38272,0
10316,38208,0
8608,8655,1
8512,28122,0
20545,38726,0
32646,14554,0
38021,38251,1
31100,31106,1
27827,27828,1
8465,8636,1
8409,30069,0
38827,38846,1
10218,23990,1
8593,8605,1
38556,38803,0
9313,40021,1
38065,38645,0
23055,23056,1
38013,38299,0
27452,38223,0
38091,38293,0
8243,40525,0
6973,14211,1
10208,8521,0
643,43525,0
10601,30736,0
29714,47702,0
14082,14083,1
8464,8578,1
38137,1670,0
38792,7103,0
6162,24074,1
33116,39322,1
459,52688,1
8546,8617,1
38677,38697,1
38042,38215,1
29757,29758,1
11147,17696,0
38529,38225,0
8452,38255,0
38214,7561,0
38616,40396,0
38798,8587,0
20447,20449,1
38557,38808,1
8433,8603,1
8507,38822,0
38657,38747,1
12983,12984,1
38527,38533,1
38101,38145,1
4300,38692,0
8548,8653,1
8573,8147,0
10274,19912,0
38543,38803,0
38583,38680,1
11623,38735,0
8597,38086,0
38552,16761,0
38042,25256,0
38003,38197,1
26815,44052,1
38037,38222,1
41401,41402,1
41466,38257,0
8710,26260,1
5219,18135,1
8418,8441,1
38525,8639,0
38553,38782,1
31229,39515,0
1072,29608,1
9612,17927,0
38198,38263,1
3223,3224,1
20609,43610,1
38018,38614,0
38568,38574,1
1198,33764,0
50799,50801,1
8455,20342,0
31092,31093,1
38109,38864,0
38524,38877,0
6987,6989,1
8502,8544,1
38521,38584,1
38806,38807,1
38515,38803,1
29768,24314,0
25160,25161,1
38154,38198,0
44599,17027,0
2145,47807,0
37987,38118,1
38577,38844,1
7728,15265,1
15202,26796,1
8431,8470,1
39238,39239,1
38066,6737,0
8511,8513,1
28484,43481,0
38223,38269,1
51895,38132,0
1643,38771,0
8417,33729,0
38079,38156,1
38551,22689,0
38552,38816,1
16492,16496,1
49351,21660,0
29768,38113,1
38549,38825,1
8422,8483,1
8492,8534,1
31780,31930,0
10440,8669,0
38148,38262,1
3069,3232,1
8463,8493,1
6620,44656,0
32425,32427,1
26849,38816,0
38651,38715,1
22956,22957,1
38226,20267,0
28618,28619,1
38025,39030,0
23546,38561,0
37998,32199,0
8495,8594,1
10693,29359,0
13976,8635,0
38132,38294,1
38575,43313,0
6416,6417,1
38137,44231,0
31207,41324,1
3455,24453,1
38665,28828,0
38100,42209,0
38591,38841,1
52838,35711,0
38544,19422,0
8454,8602,1
3836,38823,1
14149,25467,1
1839,8447,0
15834,8565,0
8247,38705,1
38048,38142,1
36833,44201,1
31098,31101,1
38639,38860,1
31788,38765,0
38185,38268,1
38662,28956,0
15900,18858,1
563,52241,0
38143,38817,0
16515,34018,0
3567,16079,1
7734,11511,1
38558,38702,1
51745,51843,1
19186,38226,0
8439,8631,1
27980,38098,0
38100,38197,1
38528,38606,1
474,17087,1
38169,38223,1
38024,38217,0
4220,38307,0
37983,38004,1
8542,8656,1
38029,8620,0
32397,38200,0
7541,8507,0
38829,38626,0
38128,39367,0
5614,38726,0
27337,39898,0
38575,8531,0
38088,38112,0
17238,35831,1
38715,50454,0
38554,38596,0
38029,38054,1
38538,38667,1
35293,47957,1
49613,50472,1
7729,13070,1
8433,38566,0
38536,38571,0
38016,38294,1
8246,32066,0
26421,26430,1
8156,44259,0
2353,2357,1
5966,6133,0
2835,38762,0
38601,38709,0
38660,38848,1
38591,38745,1
52819,8564,0
38126,38153,1
1270,1756,1
38562,38782,1
7868,38177,0
38213,6725,0
38531,38757,1
16490,16503,1
24894,38178,0
13427,33523,1
38596,38781,1
38142,38220,1
38664,8586,0
8907,8908,1
38531,38607,0
38204,14972,0
1563,7270,1
8433,8504,1
2268,6667,1
14397,14400,1
14143,17489,1
31792,38627,1
38109,38165,1
38598,38679,1
38550,38566,1
38009,38178,1
963,28126,0
9419,32577,0
33539,33552,1
38694,36508,0
38614,38677,1
28734,28737,1
21913,21924,1
14698,46875,0
38517,38763,1
8532,8631,1
35180,38147,0
8506,8562,1
8473,24289,0
13953,16656,1
38641,8554,0
8465,8671,1
7202,20655,0
38218,38296,1
23113,31653,0
41717,41723,1
4278,38169,0
49039,49041,1
17075,8634,0
38576,5023,0
38814,38849,1
8424,8487,1
16564,50615,0
32250,38781,0
40005,16504,0
38784,51914,0
38266,38827,0
8518,8625,1
33814,46746,1
15328,38274,0
17012,38240,0
30462,22252,0
33227,38783,0
16621,16623,1
8452,38151,0
8472,8620,1
37997,38174,1
38206,38286,1
14882,14883,1
36345,38299,0
38720,38726,1
49595,38544,0
38059,8536,0
38187,9107,0
38806,38819,1
38673,33329,0
32333,13057,0
38009,38106,1
38751,38784,1
34341,34342,1
38540,38634,1
38157,38787,0
38549,38871,1
15548,52351,1
38727,29968,0
38801,38875,1
14683,14696,1
8480,8659,1
34484,41884,1
572,17982,1
38708,38071,0
38219,38259,1
38656,38864,0
8505,8635,1
8572,8634,1
832,833,1
38090,38194,1
51349,51360,1
13842,13844,1
38600,38121,0
8533,8634,1
42068,26975,0
38062,36906,0
8434,8459,1
25628,46342,0
1292,8654,0
20412,51469,1
8469,27418,0
38000,38080,1
31339,31341,1
38578,38308,0
8570,8598,1
30759,21165,0
38711,38871,1
24140,38093,0
6822,20748,1
10696,10701,1
12975,8555,0
38778,18493,0
4861,33682,1
38629,38829,1
8510,8456,0
38867,38672,0
8449,8560,1
38646,38870,1
8432,8617,1
8441,18302,0
22871,38191,0
8561,47293,0
38710,38846,1
20907,12066,0
4701,21180,1
614,1191,1
8416,38271,0
33446,42207,1
29963,38552,1
38081,47598,0
22751,51756,1
17078,17083,1
38030,49833,0
2218,22749,0
31405,31408,1
23082,23084,1
38572,38142,0
19717,19721,1
2936,8645,0
1414,32260,0
38605,38724,1
38159,38235,1
46661,38229,0
38831,38202,0
38680,38709,1
46737,23084,0
7728,38242,0
37089,37093,1
475,25121,0
31846,38674,0
38234,38239,1
38035,39030,0
38074,31112,0
8849,38145,0
601,18038,0
8418,8445,1
1467,24490,1
19742,8505,0
32126,30187,0
38557,38873,0
37988,38178,1
38074,38192,1
49422,38235,0
11815,11818,1
2366,26509,1
38085,8531,0
23719,23720,1
38572,38739,1
38643,32168,0
38071,38809,0
18720,26965,1
2593,41180,0
16967,16968,1
38075,38086,1
47560,47564,1
38613,38619,0
38670,38702,1
38684,49572,0
3729,17195,1
12975,40888,1
45660,45663,1
47478,47479,1
37993,8647,0
36503,36504,1
38526,47822,0
27381,13919,0
19408,19409,1
21660,38290,1
8514,8526,1
8500,8564,1
8476,8611,1
38540,38706,1
33230,34390,1
30407,38790,0
12723,20385,0
38709,38854,1
1322,38690,0
13666,38295,0
11698,41133,0
38153,16501,0
29593,32071,0
15634,50916,0
38612,21141,0
4038,8540,0
14371,13921,0
38600,38667,1
16474,16480,1
2936,21050,1
46153,46154,1
9981,38284,0
3088,38841,0
12408,29812,0
1107,1778,1
38560,38795,0
29461,38791,0
38018,38234,0
8510,8583,1
26854,26856,1
29433,41878,1
38823,38871,1
3567,21193,0
38548,39026,0
8424,38800,0
29593,38608,1
10431,13057,1
38647,38743,1
3970,38872,0
37983,8643,0
30339,49705,1
20243,20244,1
38550,38586,1
38510,38249,0
16076,26231,1
38560,38649,1
6324,6325,1
8470,8581,1
8492,8507,1
38100,38167,1
38005,38082,1
35925,44470,1
8548,47292,0
8720,39227,0
38515,38685,1
38739,38783,1
22829,38235,0
7663,38214,0
38620,43818,0
8471,38798,0
35359,38854,0
38583,38769,1
49128,38778,0
1688,8423,1
49829,38303,0
29596,7199,0
38240,38298,1
40415,40419,1
37994,38249,1
49546,8637,0
38535,38600,1
8569,38232,0
7124,7126,1
8491,44627,0
6418,38276,0
34633,16856,0
38021,38094,1
8582,8660,1
38595,38867,1
38083,11390,0
8425,38272,0
38080,38246,0
38027,38031,1
41228,38801,0
38751,38752,0
14146,27246,0
38862,38865,1
38798,38844,1
38650,38071,0
41171,38242,0
52313,52316,1
38104,38295,1
1805,28757,1
38669,38694,1
26074,17893,0
5614,8590,1
34976,34977,1
36931,34687,0
43185,44238,0
8247,38574,1
8235,8237,1
38582,38815,1
2199,33605,0
11095,11103,1
38117,19728,0
8091,32649,0
38674,38772,1
43486,43487,1
38019,1117,0
8512,8587,0
1697,28074,0
644,2494,1
20606,38553,0
32857,32858,1
31635,11769,0
38531,38829,1
21118,32140,1
8429,52807,0
38531,38534,0
38151,38242,1
27505,38780,1
38584,38764,1
38625,38832,0
38704,38738,1
36931,38256,0
28734,44700,0
38688,38837,1
4484,38698,0
38138,38252,1
37991,38213,1
38561,39028,1
27392,27423,1
38296,8654,0
38062,31003,0
1201,38094,0
38619,41957,0
38602,38638,1
26088,26093,1
29768,38062,0
38573,28905,0
37983,38117,1
8487,38271,0
38599,38570,0
2216,2219,1
8535,8647,1
33234,43745,1
36098,12641,0
16562,51961,1
18527,23428,1
38680,38841,1
33273,34049,0
38589,26626,0
22616,38709,0
8473,8657,0
26962,3105,0
8513,38284,0
8478,8633,1
23113,38599,0
28618,14729,0
1563,21602,1
47087,38300,0
38855,39032,1
11567,11568,1
46729,46731,1
38614,10339,0
14723,41074,0
38839,38876,1
28814,28815,1
29896,38717,0
38673,17273,0
38027,38162,1
38708,38770,1
38672,50742,0
38211,42687,0
8531,8634,0
38804,8478,0
38810,8114,0
8042,8538,0
8447,8539,0
38020,38121,1
38627,38796,1
38843,38850,1
38425,38426,1
38218,38553,0
38700,38747,1
38235,38274,1
8434,43486,0
10218,11779,1
31405,38677,0
3069,27429,0
16465,8655,0
19357,19358,1
22871,8554,0
38040,7346,0
8546,8671,0
8430,10997,0
8246,8659,0
8253,8608,0
38031,8647,0
14483,14489,1
8525,38163,0
15195,17884,1
29593,38488,0
37983,8652,0
8455,8532,1
38025,38865,0
38086,38098,1
22987,8199,0
5090,8501,0
38603,38656,1
1230,24408,1
38724,613,0
31724,31460,0
8547,27407,0
38602,40510,0
38094,38280,1
38133,11721,0
31367,8636,0
38024,50412,0
38266,38275,1
20115,9421,0
38543,38177,0
3861,22146,1
14706,30610,0
34623,34624,1
38606,38792,1
38633,38781,1
22825,22828,1
11322,11324,1
38767,38776,1
27455,44774,1
44372,30542,0
38666,38774,1
38044,38161,1
21450,21454,1
38148,22937,0
38574,38594,1
8247,38692,0
38745,38795,1
38052,38094,1
11086,43948,0
18257,38282,0
26894,26897,1
38518,38624,1
44274,38769,0
8458,8651,1
38640,41099,0
38778,38684,0
25115,15497,0
31466,48798,0
17472,2179,0
38232,38169,0
6341,25246,1
22051,46587,1
15285,29437,0
38530,38822,1
37983,38789,0
8629,8647,1
31956,38203,0
17667,17684,1
8538,38110,0
38668,38747,1
8408,8576,1
16069,38656,0
8914,13059,1
572,38155,0
8471,34662,0
34409,38754,0
33000,33002,1
12938,37995,1
38072,38854,0
1569,10210,1
3588,38667,0
38081,38174,1
2081,3288,0
8550,8648,1
4869,38213,0
23155,38842,0
17238,38273,0
38607,38616,1
38512,43953,0
29593,38772,0
18546,38764,0
38064,38876,0
1716,14879,1
38685,38722,1
1133,28307,1
22316,22318,1
38512,38715,1
29433,29470,1
38553,38594,1
4393,21595,1
44317,46992,1
738,36712,0
5392,34473,1
10218,47743,0
49233,38186,0
15501,38633,0
38601,8568,0
12628,12641,1
12626,38440,0
2991,46214,0
34540,39332,1
9517,31724,1
40096,52426,1
738,8538,0
14877,8577,0
6074,38842,0
24613,43825,0
5072,5073,1
38535,38611,1
38071,38245,0
38260,38022,0
38544,38201,0
8324,8326,1
8465,38098,0
38177,38206,1
36589,38803,0
38218,38220,1
15404,41410,0
38005,38188,1
38144,8633,0
48362,21050,0
38173,38226,1
38048,38062,1
8418,8671,0
21896,50121,1
11733,38142,0
38079,38290,1
5033,50033,1
38127,38280,1
38213,38296,1
38103,38302,1
7028,8666,0
38621,15732,0
39149,12933,0
989,33031,1
38784,38853,1
1300,1307,1
11556,8654,0
10884,10886,1
38528,38558,1
8137,24084,1
8518,8628,0
38709,27557,0
31092,8603,0
38117,38184,1
8827,10531,1
19611,38849,0
5834,5835,1
38117,38768,0
2793,2796,1
38700,8604,0
38144,38242,1
29596,8542,0
38174,38294,1
38062,31205,0
38598,38612,1
12408,8934,0
38033,41341,0
14694,14729,1
38579,38508,0
38232,45897,0
38109,1384,0
37995,3746,0
19987,38840,0
18982,22017,1
7880,44259,1
8439,8555,1
36881,16934,0
51157,8295,0
51280,51281,1
38054,38160,0
8436,8568,1
38572,38765,0
7289,38637,0
38544,38570,1
11946,41372,1
22887,37955,1
38226,43640,0
38783,8645,0
38687,38736,0
20332,20333,1
38665,38717,1
8424,38076,0
1906,18485,1
38831,51693,0
38755,12824,0
8522,17106,0
29272,29273,1
38279,38287,1
11267,17007,1
36391,36394,1
38508,35324,0
38623,38630,1
2491,22201,1
8471,38200,0
38584,18364,0
8465,24896,0
8503,549,0
38173,38305,1
5576,10264,1
38844,38847,1
38082,38648,0
38088,31084,0
7367,8651,0
38208,38508,0
17082,17104,1
8518,8641,1
38552,38585,1
44371,44375,1
37986,38226,1
11314,38189,0
38526,38602,1
8503,38028,0
18518,34046,0
38122,38304,1
8438,38597,0
8665,8666,1
8408,8608,1
3357,12644,0
15616,38167,0
26789,38520,1
7833,20826,0
4196,16129,1
38656,38689,1
7579,38744,0
19752,19756,1
42606,42607,1
38760,38797,1
38520,38125,0
38604,33228,0
38563,38736,0
8422,8492,1
38564,38740,1
38765,38502,0
8456,38866,0
11697,38187,0
38639,10190,0
4901,29460,1
32792,45535,1
38675,38875,1
37995,38020,1
8536,38775,0
12473,8559,0
27085,35848,0
3828,38854,0
47945,38618,0
45838,45840,1
34890,40484,0
8513,8555,0
8588,38097,0
37997,38745,0
2588,2590,1
33960,7561,0
3281,25155,1
38607,38755,0
38115,38179,1
4357,9294,1
38162,15026,0
38544,13995,0
40096,40097,1
33135,40498,0
8426,41519,0
29333,31003,0
8472,16088,0
38300,16487,0
38615,38739,1
11337,38618,1
3505,27246,0
38610,39027,1
40014,40019,1
12628,12638,1
46339,46342,1
8559,30498,0
38528,36378,0
8439,8616,0
28496,46374,0
1096,38206,0
38018,38117,1
8246,8576,0
38018,1293,0
38612,38658,0
33273,38827,0
8763,38062,0
4783,10774,1
38143,38207,0
32629,34924,0
22459,8551,0
38567,38748,0
38052,2816,0
8569,38654,0
27086,38251,0
38797,29416,0
16465,33741,0
38695,38262,0
2315,24704,1
36640,36644,1
5220,47095,1
8481,8499,1
6328,28122,1
27526,38683,0
34869,34874,1
4376,8612,0
25904,25937,1
38525,38794,0
6372,41482,1
35588,38058,0
38526,38751,1
2032,7520,1
17903,17904,1
8427,8434,1
4139,32788,1
816,17792,1
29770,38839,0
47084,31497,0
13468,13469,1
3948,8502,0
37993,16502,0
31792,38734,0
35904,35915,1
31801,31802,1
38788,28482,0
42169,49613,0
1650,5277,0
9195,31894,1
11524,38210,0
8584,8637,1
39685,39686,1
38545,38626,1
8441,8551,1
8590,22213,1
38682,38802,1
8424,38829,0
25905,7979,0
14546,8610,0
3836,38665,1
12899,38414,0
2146,2147,1
12938,8582,0
12695,8654,0
46737,40996,0
34213,40966,0
38664,38711,1
37995,38253,1
16479,16488,1
31381,43745,1
26687,44809,1
9033,25336,1
38796,38828,0
15490,38187,0
37999,8663,0
34195,38231,0
20700,20701,1
37286,33002,0
28123,28126,1
38046,38189,1
38520,38596,1
38797,38842,1
38209,38278,1
8522,8541,1
38623,38787,1
4044,52539,0
5892,38303,0
38651,38796,1
40774,38812,0
51979,51585,0
21660,38082,1
35374,44052,0
38184,38283,1
38664,30227,0
28933,8452,0
38531,43318,0
27668,8588,0
4484,23719,0
38674,36252,0
17090,25936,0
38530,38553,1
39581,39584,1
1130,24894,1
38687,38782,1
38210,18680,0
1286,1307,1
38140,21463,0
48865,38746,0
38013,8593,0
5091,30519,1
31011,36414,0
21660,49410,0
38548,38700,1
18120,39071,0
8956,8547,0
1242,46145,0
28764,8599,0
11917,31367,1
38581,38842,1
21690,16128,0
29768,38712,0
10264,10265,1
12339,12340,1
38689,38856,1
14711,38068,0
3458,4985,1
7681,7682,1
31433,37865,1
38571,8638,0
8461,8620,1
8495,38208,0
18240,8554,0
38160,38241,1
38653,43007,0
11026,11891,1
8506,8555,1
751,8597,0
39999,40026,1
38589,38877,1
17101,17102,1
38686,38766,1
29829,38199,0
5495,38816,0
3567,8438,1
36753,44573,1
38527,38086,0
38796,27409,0
12938,38188,1
38035,8588,0
21155,8545,0
3975,8631,1
38733,8519,0
9746,11719,1
38028,38827,0
1576,30530,0
42348,42349,1
8678,8680,1
2963,38683,0
8414,38809,0
586,8446,1
8418,8495,1
38034,38299,1
33735,33742,1
38116,38185,1
38104,38110,1
38065,38286,1
38065,8622,0
38238,41956,0
38161,2720,0
38673,8573,0
16538,38736,0
47597,47598,1
28231,28232,1
1313,18794,1
586,38833,0
27736,27741,1
4696,35957,1
29963,38754,1
8622,8669,1
38521,38125,0
39002,12362,0
7391,8934,1
1688,8450,1
38608,20086,0
38259,49079,0
38028,38286,1
16284,30944,1
38620,38871,0
4701,32950,0
10682,52225,1
38567,38747,1
11567,21502,1
16437,26206,1
8426,8647,1
8472,37714,0
36931,38670,1
42405,42407,1
10865,18521,1
38052,38193,0
38816,38852,1
38571,38701,1
8497,38103,0
38809,38847,1
10137,38916,1
26074,38409,0
15549,15550,1
38131,38242,0
38259,21180,0
38127,38242,1
38710,8596,0
4993,8565,1
36494,43802,1
14146,24019,1
8420,8595,1
38571,38650,1
38259,35951,0
38553,33963,0
1107,47293,1
42515,48239,1
14334,38731,0
45982,38790,0
38584,10308,0
38144,38279,1
30198,25912,0
16699,7863,0
7138,14336,0
38118,38226,1
38105,38147,1
8518,8538,1
6270,6272,1
6204,8546,0
49351,50798,1
45818,38833,0
34391,34395,1
43026,8532,0
4240,38643,0
38047,38203,1
38545,50602,0
17664,3105,0
9313,40016,1
8562,38742,0
12668,38302,0
15596,15597,1
38655,26094,0
30000,30004,1
25900,38144,0
38691,38733,1
8534,8621,1
38009,38256,1
38071,38756,0
1514,34059,0
8816,12074,1
38203,38253,1
47215,47216,1
38571,38846,1
38732,38781,0
31414,34736,1
8469,38219,0
8568,8649,0
31207,31773,0
14690,14729,1
8534,8636,1
35944,35945,1
29768,38848,0
1312,38791,0
18382,18384,1
2714,38691,0
22363,38123,0
38022,11512,0
10264,38793,0
19680,42939,0
3069,9202,1
7681,8568,0
8502,38681,0
631,29777,1
38030,47102,0
2252,22957,0
44056,44057,1
14685,33546,1
2146,50062,0
20412,38827,0
38608,4408,0
38336,46560,0
1568,29315,1
38515,38630,1
5569,28394,1
16513,13962,0
38841,38854,1
986,22018,1
38026,8629,0
9485,38803,0
4139,8546,0
6095,8815,0
38561,38688,1
8577,38728,0
38523,38588,1
19953,39150,0
38062,16782,0
9024,9121,1
10226,10227,1
8931,37557,1
38703,39033,1
38536,38864,1
31051,38686,0
38603,23365,0
8464,8530,1
17075,8622,0
38533,38626,1
8501,8508,1
38593,38865,0
36097,38229,1
38075,38173,0
47578,47579,1
5438,31002,0
38061,38724,0
38025,38209,1
9264,9265,1
8464,8594,1
38604,38830,1
38234,17241,0
12914,12917,1
42302,38273,0
30748,39701,0
38820,8636,0
38056,38146,1
38631,38176,0
18454,18461,1
8504,38289,0
46843,33878,0
38214,38255,1
43510,38717,0
23367,17084,0
38803,10418,0
